from_stop_id,to_stop_id,transfer_type,min_transfer_time
26253,31042,0,
31042,26253,0,
26253,31044,0,
31044,26253,0,
26253,31046,0,
31046,26253,0,
26253,31050,0,
31050,26253,0,
26253,31051,0,
31051,26253,0,
26253,31489,0,
31489,26253,0,
26253,47984,0,
47984,26253,0,
26253,89764,0,
89764,26253,0,
26253,89783,0,
89783,26253,0,
26253,90426,0,
90426,26253,0,
26253,90604,0,
90604,26253,0,
26296,26297,0,
26297,26296,0,
26296,26298,0,
26298,26296,0,
26296,31020,0,
31020,26296,0,
26296,31021,0,
31021,26296,0,
26296,31022,0,
31022,26296,0,
26296,31024,0,
31024,26296,0,
26296,31026,0,
31026,26296,0,
26296,31027,0,
31027,26296,0,
26296,31028,0,
31028,26296,0,
26296,31029,0,
31029,26296,0,
26296,31030,0,
31030,26296,0,
26296,31032,0,
31032,26296,0,
26296,31034,0,
31034,26296,0,
26296,31037,0,
31037,26296,0,
26296,31038,0,
31038,26296,0,
26296,31039,0,
31039,26296,0,
26296,31040,0,
31040,26296,0,
26296,31041,0,
31041,26296,0,
26296,31042,0,
31042,26296,0,
26296,31044,0,
31044,26296,0,
26296,31046,0,
31046,26296,0,
26296,31050,0,
31050,26296,0,
26296,31051,0,
31051,26296,0,
26296,31489,0,
31489,26296,0,
26296,47984,0,
47984,26296,0,
26296,89764,0,
89764,26296,0,
26296,89783,0,
89783,26296,0,
26296,90426,0,
90426,26296,0,
26296,90604,0,
90604,26296,0,
26297,26298,0,
26298,26297,0,
26297,31020,0,
31020,26297,0,
26297,31021,0,
31021,26297,0,
26297,31022,0,
31022,26297,0,
26297,31024,0,
31024,26297,0,
26297,31026,0,
31026,26297,0,
26297,31027,0,
31027,26297,0,
26297,31028,0,
31028,26297,0,
26297,31029,0,
31029,26297,0,
26297,31030,0,
31030,26297,0,
26297,31032,0,
31032,26297,0,
26297,31034,0,
31034,26297,0,
26297,31037,0,
31037,26297,0,
26297,31038,0,
31038,26297,0,
26297,31039,0,
31039,26297,0,
26297,31040,0,
31040,26297,0,
26297,31041,0,
31041,26297,0,
26297,31042,0,
31042,26297,0,
26297,31044,0,
31044,26297,0,
26297,31046,0,
31046,26297,0,
26297,31050,0,
31050,26297,0,
26297,31051,0,
31051,26297,0,
26297,31489,0,
31489,26297,0,
26297,47984,0,
47984,26297,0,
26297,89764,0,
89764,26297,0,
26297,89783,0,
89783,26297,0,
26297,90426,0,
90426,26297,0,
26297,90604,0,
90604,26297,0,
26298,31020,0,
31020,26298,0,
26298,31021,0,
31021,26298,0,
26298,31022,0,
31022,26298,0,
26298,31024,0,
31024,26298,0,
26298,31026,0,
31026,26298,0,
26298,31027,0,
31027,26298,0,
26298,31028,0,
31028,26298,0,
26298,31029,0,
31029,26298,0,
26298,31030,0,
31030,26298,0,
26298,31032,0,
31032,26298,0,
26298,31034,0,
31034,26298,0,
26298,31037,0,
31037,26298,0,
26298,31038,0,
31038,26298,0,
26298,31039,0,
31039,26298,0,
26298,31040,0,
31040,26298,0,
26298,31041,0,
31041,26298,0,
26298,31042,0,
31042,26298,0,
26298,31044,0,
31044,26298,0,
26298,31046,0,
31046,26298,0,
26298,31050,0,
31050,26298,0,
26298,31051,0,
31051,26298,0,
26298,31489,0,
31489,26298,0,
26298,47984,0,
47984,26298,0,
26298,89764,0,
89764,26298,0,
26298,89783,0,
89783,26298,0,
26298,90426,0,
90426,26298,0,
26298,90604,0,
90604,26298,0,
31020,31021,0,
31021,31020,0,
31020,31022,0,
31022,31020,0,
31020,31024,0,
31024,31020,0,
31020,31026,0,
31026,31020,0,
31020,31027,0,
31027,31020,0,
31020,31028,0,
31028,31020,0,
31020,31029,0,
31029,31020,0,
31020,31030,0,
31030,31020,0,
31020,31032,0,
31032,31020,0,
31020,31034,0,
31034,31020,0,
31020,31037,0,
31037,31020,0,
31020,31038,0,
31038,31020,0,
31020,31039,0,
31039,31020,0,
31020,31040,0,
31040,31020,0,
31020,31041,0,
31041,31020,0,
31020,31042,0,
31042,31020,0,
31020,31044,0,
31044,31020,0,
31020,31046,0,
31046,31020,0,
31020,31050,0,
31050,31020,0,
31020,31051,0,
31051,31020,0,
31020,31489,0,
31489,31020,0,
31020,47984,0,
47984,31020,0,
31020,89764,0,
89764,31020,0,
31020,89783,0,
89783,31020,0,
31020,90426,0,
90426,31020,0,
31020,90604,0,
90604,31020,0,
31021,31022,0,
31022,31021,0,
31021,31024,0,
31024,31021,0,
31021,31026,0,
31026,31021,0,
